stop_id,stop_count,stop_reviews,station,line__001,line__002,x,y,ll__001,ll__002
200,1,1,Tappan Street Station,green,,240,913,42.338505,-71.139747
201,1,1,Dean Road Station,green,,210,945,42.337854,-71.142236
202,1,1,Englewood Avenue Station,green,,176,980,42.337014,-71.145669
203,1,1,Cleveland Circle Station,green,,125,1005,42.336189,-71.149381
204,1,1,Fenway Station,green,,625,856,42.345463,-71.104259
205,1,1,Longwood Station,green,,592,890,42.341181,-71.110417
206,1,1,Brookline Village Station,green,,558,920,42.33279,-71.116661
207,1,1,Brookline Hills Station,green,,528,953,42.331331,-71.127369
208,1,1,Beaconsfield Station,green,,494,984,42.335836,-71.140822
209,1,1,Reservoir Station,green,,463,1016,42.334979,-71.149019
210,1,1,Chestnut Hill Station,green,,430,1048,42.326651,-71.165349
211,1,1,Newton Centre Station,green,,398,1082,42.329443,-71.192471
212,1,1,Newton Highlands Station,green,,366,1114.5,42.321733,-71.206097
213,1,1,Eliot Station,green,,333,1147,42.318989,-71.216718
214,1,1,Waban Station,green,,300,1178,42.325953,-71.230752
215,1,1,Woodlan Station,green,,270,1211,42.333377,-71.244334
216,1,1,Riverside Station,green,,217,1238,42.337057,-71.25178
217,1,1,Prudential Station,green,,830,870,42.345685,-71.081749
218,1,1,Symphony Station,green,,828,972,42.342688,-71.085054
219,1,1,Northeastern University Station,green,,805,1005,42.340452,-71.088766
220,1,1,Museum of Fine Arts Station,green,,777,1030,42.337771,-71.095568
221,1,1,Longwood Medical Area Station,green,,750,1059,42.336058,-71.101855
222,1,1,Brigham Cricle Station,green,,723,1085,42.334282,-71.10458
223,1,1,Fenwood Road Station,green,,694,1115,42.333726,-71.105739
224,1,1,Mission Park Station,green,,668,1140,42.333139,-71.109838
225,1,1,Riverway Station,green,,642,1166,42.331728,-71.111983
226,1,1,Back of the Hill Station,green,,613,1195,42.330141,-71.111383
227,1,1,Heath Street Station,green,,586,1222,42.328666,-71.110524
