id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,closest_station,stop_id,station,line__001,line__002,ll__001,ll__002,closest_station_distance,closest_station_1km,closest_station_2km,closest_station_3km,closest_station_4km,closest_station_5km,closest_station_10km,x,y
19530176,Cozy hideout in a historical Boston neighborhood,36321245,Tomáš,,Beacon Hill,42.36071487583121,-71.06547608279632,Entire home/apt,160,2,5,2018-07-13,0.27,1,8,Bowdoin Station,161,Bowdoin Station,blue,,42.36142,-71.062115,0.2870728349610553,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,1168.0,595.0
19532043,Lovely 1 BR in Theater District,51058620,Regiane,,Downtown,42.351357990971174,-71.06669569051758,Entire home/apt,189,2,40,2018-12-31,2.14,6,237,Boylston Street Station,168,Boylston Street Station,green,,42.352998,-71.064571,0.2524665519569884,Boylston Street Station,Boylston Street Station,Boylston Street Station,Boylston Street Station,Boylston Street Station,Boylston Street Station,1083.0,801.0
19532898,Beautiful Spacious townhouse in Fort Hill,3707146,Mr. And Mrs.,,Roxbury,42.32242536368432,-71.0905767013882,Entire home/apt,200,2,17,2017-12-10,0.93,2,0,Jackson Square Station,146,Jackson Square Station,orange,,42.323115,-71.099733,0.7566669384387884,Jackson Square Station,Jackson Square Station,Jackson Square Station,Jackson Square Station,Jackson Square Station,Jackson Square Station,783.0,1279.0
19540224,Free Parking at Newly Renovated 1 Bed Basement Unt,130680380,Jodie,,Fenway,42.350821245820576,-71.0955748281923,Entire home/apt,175,1,116,2018-12-29,6.2,2,214,Kenmore Station,172,Kenmore Station,green,,42.348917,-71.095169,0.21435276087412627,Kenmore Station,Kenmore Station,Kenmore Station,Kenmore Station,Kenmore Station,Kenmore Station,709.5,812.0
19544387,Charming 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35694847429646,-71.06064646451766,Entire home/apt,230,2,24,2018-12-30,1.28,309,121,Downtown Crossing Station,109,Downtown Crossing Station,red,orange,42.355631,-71.06045999999998,0.14729550311958367,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,1250.0,810.0
19544986,14 Gloucester 4B by Lyon Apartments,82529160,Mario,,Back Bay,42.3513289462639,-71.08464750530871,Entire home/apt,90,2,27,2018-12-28,1.49,31,167,Hynes Convention Center,171,Hynes Convention Center,green,,42.347939,-71.087939,0.4639526378991306,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,797.0,812.0
19545217,Jamaica Plain - Private bedroom&modern bath near T,19334125,Alfredo,,Jamaica Plain,42.29284272480884,-71.11740977149077,Private room,102,2,48,2018-10-28,2.55,1,8,Forest Hills Station,149,Forest Hills Station,orange,,42.300647,-71.11586899999998,0.8769998228275295,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,579.0,1483.0
19545605,14 Gloucester 1B by Lyon Apartments,82529160,Mario,,Back Bay,42.349679957700594,-71.08626898023384,Entire home/apt,90,2,18,2018-11-26,0.99,31,168,Hynes Convention Center,171,Hynes Convention Center,green,,42.347939,-71.087939,0.2372984826951737,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,797.0,812.0
19550157,Quaint cozy room - 5 min walk to the T (Red Line),45436529,Suneeta,,Dorchester,42.29250186295657,-71.06176278334907,Private room,60,2,28,2018-10-27,1.69,2,364,Shawmut Station,121,Shawmut Station,red,,42.293251,-71.06573900000002,0.33749545164097083,Shawmut Station,Shawmut Station,Shawmut Station,Shawmut Station,Shawmut Station,Shawmut Station,1315.0,1537.0
19550846,"Your cozy, sunny retreat- just steps from T!",17922220,Rebecca,,Brighton,42.34880787341631,-71.14081084112614,Private room,69,1,7,2017-07-23,0.38,1,0,Warren Street Station,184,Warren Street Station,green,,42.348409,-71.140509,0.05081779291105111,Warren Street Station,Warren Street Station,Warren Street Station,Warren Street Station,Warren Street Station,Warren Street Station,288.0,633.0
19552273,Stunning 4BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35682139540235,-71.0604003392516,Entire home/apt,335,2,39,2018-12-13,2.24,309,107,Downtown Crossing Station,109,Downtown Crossing Station,red,orange,42.355631,-71.06045999999998,0.13245668625426704,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,Downtown Crossing Station,1250.0,810.0
19552922,Nice Room in comfortable Apt - easy access to city,137369329,Nasir,,Brighton,42.3540012915425,-71.14842902681252,Private room,50,1,32,2018-11-20,1.71,1,87,Warren Street Station,184,Warren Street Station,green,,42.348409,-71.140509,0.9001494077568072,Warren Street Station,Warren Street Station,Warren Street Station,Warren Street Station,Warren Street Station,Warren Street Station,288.0,633.0
19562001,Central 1 BD  in Theater District,51058620,Regiane,,Downtown,42.35004997597292,-71.06517559241327,Entire home/apt,100,2,23,2018-12-06,1.24,6,107,Tufts Medical Center Station,141,Tufts Medical Center Station,orange,,42.349615,-71.063941,0.11239565497935967,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,1065.0,995.0
19564884,"Artsy + Hip Classic Boston Brownstone, Sleeps 16",135841577,Lucas,,Fenway,42.34175816173987,-71.08760438175976,Entire home/apt,392,1,67,2019-01-01,4.73,3,191,Northeastern University Station,219,Northeastern University Station,green,,42.340452,-71.088766,0.17380825289025445,Northeastern University Station,Northeastern University Station,Northeastern University Station,Northeastern University Station,Northeastern University Station,Northeastern University Station,805.0,1005.0
19567173,Fenway Hideaway,12691315,Vanessa,,Fenway,42.342073781618375,-71.0892498886496,Entire home/apt,109,1,14,2017-08-28,0.79,2,0,Northeastern University Station,219,Northeastern University Station,green,,42.340452,-71.088766,0.18466728654604847,Northeastern University Station,Northeastern University Station,Northeastern University Station,Northeastern University Station,Northeastern University Station,Northeastern University Station,805.0,1005.0
19568535,Private Welcoming Apartment!,25932315,Heriberto,,Jamaica Plain,42.32401762531706,-71.10885072991077,Entire home/apt,160,2,52,2018-11-17,2.82,2,326,Heath Street Station,227,Heath Street Station,green,,42.328666,-71.110524,0.5348668506306561,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,586.0,1222.0
19570965,2 private BRs in South Boston Parking available,106545415,Kevin,,South Boston,42.33345563164745,-71.03138217141685,Private room,240,1,8,2018-11-05,0.49,4,8,Andrew Station,112,Andrew Station,red,,42.330159,-71.057456,2.1744332113887803,,,Andrew Station,Andrew Station,Andrew Station,Andrew Station,1398.0,1130.0
19571817,Clean Modern Home near Transit w/ Garage Parking,2810446,Danielle,,Jamaica Plain,42.29843642429461,-71.11061859589255,Entire home/apt,180,2,43,2018-11-17,2.37,4,0,Forest Hills Station,149,Forest Hills Station,orange,,42.300647,-71.11586899999998,0.4968729662821296,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,579.0,1483.0
19571919,Perfect location in the heart of the city,133776780,Vince,,South End,42.34529530520836,-71.07179095130816,Entire home/apt,191,2,4,2017-10-22,0.23,1,0,Back Bay Station,142,Back Bay Station,orange,,42.347332,-71.076043,0.416413791865212,Back Bay Station,Back Bay Station,Back Bay Station,Back Bay Station,Back Bay Station,Back Bay Station,1010.0,1053.0
19574477,Gorgeous Audubon Circle Studios (1),70331522,Laurie,,Fenway,42.34715854458119,-71.10527388853689,Entire home/apt,185,3,46,2018-11-24,2.71,2,342,Fenway Station,204,Fenway Station,green,,42.345463,-71.104259,0.2061611310969461,Fenway Station,Fenway Station,Fenway Station,Fenway Station,Fenway Station,Fenway Station,625.0,856.0
