id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30390075,"Bright + Cozy Southie Studio, Gym, walk to Seaport by Blueground (BOS 45)",107434423,Blueground,,South Boston Waterfront,42.34555439275683,-71.04407679609915,Entire home/apt,144,30,0,,,37,326
30390095,"Ample Seaport 1BR w/ Office Nook, Pool + Gym by Blueground (BOS 11)",107434423,Blueground,,South Boston Waterfront,42.351799005361606,-71.04413154735391,Entire home/apt,184,30,0,,,37,169
30390195,Clever 1BR w/ Office Nook in Seaport w/ Pool + Gym by Blueground (BOS 9),107434423,Blueground,,South Boston Waterfront,42.351169649396226,-71.04432164181473,Entire home/apt,155,30,0,,,37,154
30390253,"Swanky Downtown Studio, w/ Gym, near South Stn by Blueground (BOS 21)",107434423,Blueground,,Downtown,42.35367237227248,-71.0536481233348,Entire home/apt,132,30,0,,,37,342
30390283,"Mod 1BR in South End w/ Gym, Pool and Doorman by Blueground (BOS 32)",107434423,Blueground,,South End,42.34369857229181,-71.06357490413833,Entire home/apt,161,30,0,,,37,202
30390358,Spacious 2BR in the North End w/ Gym + Doorman by Blueground (BOS 14),107434423,Blueground,,Downtown,42.36603720949122,-71.05879390597754,Entire home/apt,198,30,0,,,37,230
30390378,"Beauty in Back Bay, 1BR, Gym, close to the Common by Blueground (BOS 16)",107434423,Blueground,,Bay Village,42.34906839631574,-71.06981801600918,Entire home/apt,135,30,0,,,37,361
30390424,Sleek Theater District Studio w/ Indoor Pool by Blueground (BOS 27),107434423,Blueground,,Chinatown,42.351645730049086,-71.06195213169697,Entire home/apt,164,30,0,,,37,143
30390484,Stylish South End Studio w/ Gym + Pool by Blueground (BOS 33),107434423,Blueground,,South End,42.345076734483605,-71.06205344791054,Entire home/apt,124,30,0,,,37,363
30392822,One-single room available for sublease,228220037,Haley,,Fenway,42.34499172499434,-71.09578858284839,Private room,40,120,0,,,1,257
30395670,Studio near Fenway and Colleges,169505599,Sam,,Fenway,42.34481551305617,-71.0896949890687,Entire home/apt,150,1,1,2019-01-01,1,3,86
30397035,Cozy + Bright South End 1BR w/ Gym + Roof Deck by Blueground (BOS 31),107434423,Blueground,,South End,42.34111636109654,-71.06912593664129,Entire home/apt,138,30,0,,,37,365
30397078,"Dapper Back Bay 1BR, w/ Gym, walk to Newbury St. by Blueground (BOS 19)",107434423,Blueground,,Back Bay,42.34938993169523,-71.07436723499157,Entire home/apt,167,30,0,,,37,152
30397096,Roomy + Rad Downtown 1BR w/ Gym + Doorman by Blueground (BOS 22),107434423,Blueground,,Downtown,42.355030459574735,-71.0524116241775,Entire home/apt,198,30,0,,,37,293
30397128,Dreamy + Modern 2BR in South End w/ Gym + Doorman by Blueground (BOS 30),107434423,Blueground,,South End,42.33957481660915,-71.06724139591405,Entire home/apt,188,30,0,,,37,365
30404483,City luxury gate away,7427795,Ella,,East Boston,42.37722072004285,-71.03348594104305,Entire home/apt,120,2,7,2019-01-15,6.36,2,31
30406590,Bright Boston home on quiet family street.,25656126,Nate,,Dorchester,42.315078624845334,-71.06419995105877,Private room,80,1,0,,,1,179
30416480,Seaport Luxe Condos 3BD / 2BA 3,8534462,Corp Condos & Apts,,South Boston Waterfront,42.35214701150572,-71.04223366354984,Entire home/apt,600,2,2,2018-12-26,1.54,69,360
30425726,Boston Luxury Suites Cottage for 24 guests!,127718668,Muny,,Dorchester,42.3127817767713,-71.05661231714093,Entire home/apt,840,1,0,,,10,261
30427179,Beacon Hill Gem,57565535,Holly,,Beacon Hill,42.360146129453305,-71.06769412286737,Entire home/apt,250,2,1,2018-12-28,1,2,50
30427383,Cozy Boston common apartment,65403457,Robert,,Downtown,42.3494159037559,-71.06508795050684,Entire home/apt,119,1,4,2019-01-01,3.00,4,212
30437444,Troy | south end,22836935,Patrick,,South End,42.344287538934545,-71.06305940360517,Private room,70,15,0,,,1,179
30438743,Rosi Comfort,31179723,Raq,,Roslindale,42.28966271856642,-71.12116335249284,Private room,40,2,1,2018-12-27,1,1,14
30459665,"Large Queen bedroom in quiet, T accessible, W Roxy",13856844,John,,West Roxbury,42.280950405925786,-71.14971595537175,Private room,47,2,0,,,3,355
30463146,"1-bedroom apartment by Fenway stadium, BU, BackBay",1135717,Anna,,Fenway,42.34997437264352,-71.09710874882643,Entire home/apt,99,7,2,2019-01-02,2,1,19
30464048,Serene Boston Retreat,34914894,Marguerite,,Mattapan,42.288509481033415,-71.09627832931503,Entire home/apt,215,2,0,,,2,52
30468182,Bright Spacious Condo Near Airport & Downtown,3149911,Matthew,,East Boston,42.37808535460034,-71.04063572790001,Entire home/apt,169,3,0,,,1,46
30469874,Private Garden Apartment sleeps up to four.,79575198,Jeff,,Jamaica Plain,42.31206515152685,-71.12307888929514,Entire home/apt,145,2,0,,,4,241
30469988,Spacious & convenient room in the heart of Boston,25149641,Kiki,,Dorchester,42.31947320061811,-71.05556841549725,Private room,33,1,1,2019-01-04,1,24,336
30470313,Convenient & practical room in a PERFECT location!,25149641,Kiki,,Dorchester,42.31945370001568,-71.05387601390346,Private room,32,1,1,2018-12-28,1,24,356
30472496,"1307 Private room
Near BU/BC/Harvard/MIT/Tufts",25149641,Kiki,,Allston,42.34927152671113,-71.1352073287494,Private room,45,1,2,2019-01-10,2,24,322
30476882,Private Room with Rooftop Access- Near Subway!,142127611,Natalia & Roxanne,,Jamaica Plain,42.32206717301329,-71.11043382579356,Private room,75,1,0,,,1,362
30476937,"H8*, 2 min walk to T/Subway, 17 min to Downtown",30525952,Yueyang,,Dorchester,42.28323809210906,-71.06609062022225,Private room,40,7,0,,,13,329
30484530,Large Studio Near HBS - Private Entrance / Bath,41397622,Robert,,Allston,42.36193496189787,-71.13127479593264,Private room,120,1,0,,,1,365
30497303,Playful Studio in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.363403740811194,-71.1311030416292,Entire home/apt,122,2,0,,,58,322
30497317,Bright Studio in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.364944271718805,-71.13081419117353,Entire home/apt,122,2,1,2019-01-01,1,58,335
30497322,Dashing Studio in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.364568421357326,-71.12978251889656,Entire home/apt,122,2,1,2018-12-29,1,58,338
30497331,Pristine 2BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.36411026403707,-71.13005654083467,Entire home/apt,157,2,2,2019-01-02,2,58,312
30501928,Marriott Custom House in Boston,85990105,Steve,,Downtown,42.3585313925123,-71.0543968862699,Entire home/apt,280,6,0,,,1,47
30502725,Contemporary 2BR in Financial District by Sonder,224829568,Sonder (Boston),,Downtown,42.359012611849394,-71.05493531863522,Entire home/apt,225,2,1,2019-01-02,1,58,349
30503507,Posh 2BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.36479134635918,-71.13069881947402,Entire home/apt,157,2,1,2019-01-02,1,58,294
30503511,Sleek 2BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.3633590834411,-71.13110629951898,Entire home/apt,154,2,0,,,58,310
30503514,Charming 1BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.36501295588001,-71.12994279817714,Entire home/apt,125,2,0,,,58,313
30503561,Split-Level 2BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35180994200771,-71.06285118890773,Entire home/apt,214,2,1,2018-12-30,1,58,338
30503692,Bright Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.3546632706275,-71.05844297925665,Entire home/apt,127,2,1,2019-01-01,1,58,320
30503723,Bright 2BR in Financial District by Sonder,224829568,Sonder (Boston),,Downtown,42.35860817963407,-71.05458786585702,Entire home/apt,212,2,1,2019-01-04,1,58,317
30503745,Sleek Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.354290099126,-71.05993787895675,Entire home/apt,127,2,0,,,58,322
30503753,Hip Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35527258844634,-71.05954011270357,Entire home/apt,132,2,0,,,58,323
30503767,Pleasant Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.353970371576985,-71.05926554747658,Entire home/apt,127,2,1,2019-01-03,1,58,322
30503768,Modern Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.354650205740114,-71.05839024415893,Entire home/apt,127,2,1,2018-12-26,1,58,314
30503779,Lively Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35456691002317,-71.05834429377363,Entire home/apt,131,2,0,,,58,328
30503782,Spacious Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35555040364919,-71.05849932147429,Entire home/apt,129,2,1,2019-01-02,1,58,324
30503792,Chic Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.3544819824661,-71.05858517058903,Entire home/apt,128,2,1,2018-12-29,1,58,302
30503796,Contemporary Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35555375301765,-71.05864322144086,Entire home/apt,132,2,0,,,58,326
30503818,Classic Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35377152049162,-71.0597588180123,Entire home/apt,129,2,1,2019-01-01,1,58,320
30503843,Vibrant 1BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.351187334624946,-71.06365439307108,Entire home/apt,131,2,0,,,58,338
30503870,Unique 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.343601162481114,-71.10172096729846,Entire home/apt,151,2,0,,,58,307
30503873,Panoramic 3BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.36482284010262,-71.12937782452686,Entire home/apt,276,2,0,,,58,324
30503876,Sleek 1BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35147611839653,-71.06324009653837,Entire home/apt,131,2,2,2019-01-04,2,58,273
30503878,Posh 1BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35201614140235,-71.06352033709518,Entire home/apt,131,2,0,,,58,309
30505051,Studio in the heart of Boston! Furnished!,169505599,Sam,,Fenway,42.34480209230903,-71.08795548016252,Entire home/apt,125,1,2,2019-01-01,1.82,3,125
30505226,Panoramic 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.344236874798376,-71.10137345299306,Entire home/apt,151,2,0,,,58,316
